date,d,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2011-05-09,d_101,2011_19,Monday,1,5,2011,,,,,0,0,0
2011-05-10,d_102,2011_19,Tuesday,2,5,2011,,,,,0,0,0
2011-05-11,d_103,2011_19,Wednesday,3,5,2011,,,,,0,0,0
2011-05-12,d_104,2011_19,Thursday,4,5,2011,,,,,0,0,0
2011-05-13,d_105,2011_19,Friday,5,5,2011,,,,,0,0,0
2011-05-14,d_106,2011_19,Saturday,6,5,2011,,,,,0,0,0
2011-05-15,d_107,2011_19,Sunday,7,5,2011,,,,,0,0,0
2011-05-16,d_108,2011_20,Monday,1,5,2011,,,,,0,0,0
2011-05-17,d_109,2011_20,Tuesday,2,5,2011,,,,,0,0,0
2011-05-18,d_110,2011_20,Wednesday,3,5,2011,,,,,0,0,0
2011-05-19,d_111,2011_20,Thursday,4,5,2011,,,,,0,0,0
2011-05-20,d_112,2011_20,Friday,5,5,2011,,,,,0,0,0
2011-05-21,d_113,2011_20,Saturday,6,5,2011,,,,,0,0,0
2011-05-22,d_114,2011_20,Sunday,7,5,2011,,,,,0,0,0
2011-05-23,d_115,2011_21,Monday,1,5,2011,,,,,0,0,0
2011-05-24,d_116,2011_21,Tuesday,2,5,2011,,,,,0,0,0
2011-05-25,d_117,2011_21,Wednesday,3,5,2011,,,,,0,0,0
2011-05-26,d_118,2011_21,Thursday,4,5,2011,,,,,0,0,0
2011-05-27,d_119,2011_21,Friday,5,5,2011,,,,,0,0,0
2011-05-28,d_120,2011_21,Saturday,6,5,2011,,,,,0,0,0
2011-05-29,d_121,2011_21,Sunday,7,5,2011,,,,,0,0,0
2011-05-30,d_122,2011_22,Monday,1,5,2011,,,,,0,0,0
2011-05-31,d_123,2011_22,Tuesday,2,5,2011,,,,,0,0,0
2011-06-01,d_124,2011_22,Wednesday,3,6,2011,,,,,0,0,0
2011-06-02,d_125,2011_22,Thursday,4,6,2011,,,,,0,0,0
2011-06-03,d_126,2011_22,Friday,5,6,2011,,,,,0,0,0
2011-06-04,d_127,2011_22,Saturday,6,6,2011,,,,,0,0,0
2011-06-05,d_128,2011_22,Sunday,7,6,2011,,,,,0,0,0
2011-06-06,d_129,2011_23,Monday,1,6,2011,,,,,0,0,0
2011-06-07,d_130,2011_23,Tuesday,2,6,2011,,,,,0,0,0
2011-06-08,d_131,2011_23,Wednesday,3,6,2011,,,,,0,0,0
2011-06-09,d_132,2011_23,Thursday,4,6,2011,,,,,0,0,0
2011-06-10,d_133,2011_23,Friday,5,6,2011,,,,,0,0,0
2011-06-11,d_134,2011_23,Saturday,6,6,2011,,,,,0,0,0
2011-06-12,d_135,2011_23,Sunday,7,6,2011,,,,,0,0,0
2011-06-13,d_136,2011_24,Monday,1,6,2011,,,,,0,0,0
2011-06-14,d_137,2011_24,Tuesday,2,6,2011,,,,,0,0,0
2011-06-15,d_138,2011_24,Wednesday,3,6,2011,,,,,0,0,0
2011-06-16,d_139,2011_24,Thursday,4,6,2011,,,,,0,0,0
2011-06-17,d_140,2011_24,Friday,5,6,2011,,,,,0,0,0
2011-06-18,d_141,2011_24,Saturday,6,6,2011,,,,,0,0,0
2011-06-19,d_142,2011_24,Sunday,7,6,2011,,,,,0,0,0
2011-06-20,d_143,2011_25,Monday,1,6,2011,,,,,0,0,0
2011-06-21,d_144,2011_25,Tuesday,2,6,2011,,,,,0,0,0
2011-06-22,d_145,2011_25,Wednesday,3,6,2011,,,,,0,0,0
2011-06-23,d_146,2011_25,Thursday,4,6,2011,,,,,0,0,0
2011-06-24,d_147,2011_25,Friday,5,6,2011,,,,,0,0,0
2011-06-25,d_148,2011_25,Saturday,6,6,2011,,,,,0,0,0
2011-06-26,d_149,2011_25,Sunday,7,6,2011,,,,,0,0,0
2011-06-27,d_150,2011_26,Monday,1,6,2011,,,,,0,0,0
2011-06-28,d_151,2011_26,Tuesday,2,6,2011,,,,,0,0,0
2011-06-29,d_152,2011_26,Wednesday,3,6,2011,,,,,0,0,0
2011-06-30,d_153,2011_26,Thursday,4,6,2011,,,,,0,0,0
2011-07-01,d_154,2011_26,Friday,5,7,2011,,,,,0,0,0
2011-07-02,d_155,2011_26,Saturday,6,7,2011,,,,,0,0,0
2011-07-03,d_156,2011_26,Sunday,7,7,2011,,,,,0,0,0
2011-07-04,d_157,2011_27,Monday,1,7,2011,,,,,0,0,0
2011-07-05,d_158,2011_27,Tuesday,2,7,2011,,,,,0,0,0
2011-07-06,d_159,2011_27,Wednesday,3,7,2011,,,,,0,0,0
2011-07-07,d_160,2011_27,Thursday,4,7,2011,,,,,0,0,0
2011-07-08,d_161,2011_27,Friday,5,7,2011,,,,,0,0,0
2011-07-09,d_162,2011_27,Saturday,6,7,2011,,,,,0,0,0
2011-07-10,d_163,2011_27,Sunday,7,7,2011,,,,,0,0,0
2011-07-11,d_164,2011_28,Monday,1,7,2011,,,,,0,0,0
2011-07-12,d_165,2011_28,Tuesday,2,7,2011,,,,,0,0,0
2011-07-13,d_166,2011_28,Wednesday,3,7,2011,,,,,0,0,0
2011-07-14,d_167,2011_28,Thursday,4,7,2011,,,,,0,0,0
2011-07-15,d_168,2011_28,Friday,5,7,2011,,,,,0,0,0
2011-07-16,d_169,2011_28,Saturday,6,7,2011,,,,,0,0,0
2011-07-17,d_170,2011_28,Sunday,7,7,2011,,,,,0,0,0
2011-07-18,d_171,2011_29,Monday,1,7,2011,,,,,0,0,0
2011-07-19,d_172,2011_29,Tuesday,2,7,2011,,,,,0,0,0
2011-07-20,d_173,2011_29,Wednesday,3,7,2011,,,,,0,0,0
2011-07-21,d_174,2011_29,Thursday,4,7,2011,,,,,0,0,0
2011-07-22,d_175,2011_29,Friday,5,7,2011,,,,,0,0,0
2011-07-23,d_176,2011_29,Saturday,6,7,2011,,,,,0,0,0
2011-07-24,d_177,2011_29,Sunday,7,7,2011,,,,,0,0,0
2011-07-25,d_178,2011_30,Monday,1,7,2011,,,,,0,0,0
2011-07-26,d_179,2011_30,Tuesday,2,7,2011,,,,,0,0,0
2011-07-27,d_180,2011_30,Wednesday,3,7,2011,,,,,0,0,0
2011-07-28,d_181,2011_30,Thursday,4,7,2011,,,,,0,0,0
2011-07-29,d_182,2011_30,Friday,5,7,2011,,,,,0,0,0
2011-07-30,d_183,2011_30,Saturday,6,7,2011,,,,,0,0,0
2011-07-31,d_184,2011_30,Sunday,7,7,2011,,,,,0,0,0
2011-08-01,d_185,2011_31,Monday,1,8,2011,,,,,0,0,0
2011-08-02,d_186,2011_31,Tuesday,2,8,2011,,,,,0,0,0
2011-08-03,d_187,2011_31,Wednesday,3,8,2011,,,,,0,0,0
2011-08-04,d_188,2011_31,Thursday,4,8,2011,,,,,0,0,0
2011-08-05,d_189,2011_31,Friday,5,8,2011,,,,,0,0,0
2011-08-06,d_190,2011_31,Saturday,6,8,2011,,,,,0,0,0
2011-08-07,d_191,2011_31,Sunday,7,8,2011,,,,,0,0,0
2011-08-08,d_192,2011_32,Monday,1,8,2011,,,,,0,0,0
2011-08-09,d_193,2011_32,Tuesday,2,8,2011,,,,,0,0,0
2011-08-10,d_194,2011_32,Wednesday,3,8,2011,,,,,0,0,0
2011-08-11,d_195,2011_32,Thursday,4,8,2011,,,,,0,0,0
2011-08-12,d_196,2011_32,Friday,5,8,2011,,,,,0,0,0
2011-08-13,d_197,2011_32,Saturday,6,8,2011,,,,,0,0,0
2011-08-14,d_198,2011_32,Sunday,7,8,2011,,,,,0,0,0
2011-08-15,d_199,2011_33,Monday,1,8,2011,,,,,0,0,0
2011-08-16,d_200,2011_33,Tuesday,2,8,2011,,,,,0,0,0
2011-08-17,d_201,2011_33,Wednesday,3,8,2011,,,,,0,0,0
2011-08-18,d_202,2011_33,Thursday,4,8,2011,,,,,0,0,0
2011-08-19,d_203,2011_33,Friday,5,8,2011,,,,,0,0,0
2011-08-20,d_204,2011_33,Saturday,6,8,2011,,,,,0,0,0
2011-08-21,d_205,2011_33,Sunday,7,8,2011,,,,,0,0,0
2011-08-22,d_206,2011_34,Monday,1,8,2011,,,,,0,0,0
2011-08-23,d_207,2011_34,Tuesday,2,8,2011,,,,,0,0,0
2011-08-24,d_208,2011_34,Wednesday,3,8,2011,,,,,0,0,0
2011-08-25,d_209,2011_34,Thursday,4,8,2011,,,,,0,0,0
2011-08-26,d_210,2011_34,Friday,5,8,2011,,,,,0,0,0
2011-08-27,d_211,2011_34,Saturday,6,8,2011,,,,,0,0,0
2011-08-28,d_212,2011_34,Sunday,7,8,2011,,,,,0,0,0
2011-08-29,d_213,2011_35,Monday,1,8,2011,,,,,0,0,0
2011-08-30,d_214,2011_35,Tuesday,2,8,2011,,,,,0,0,0
2011-08-31,d_215,2011_35,Wednesday,3,8,2011,,,,,0,0,0
2011-09-01,d_216,2011_35,Thursday,4,9,2011,,,,,0,0,0
2011-09-02,d_217,2011_35,Friday,5,9,2011,,,,,0,0,0
2011-09-03,d_218,2011_35,Saturday,6,9,2011,,,,,0,0,0
2011-09-04,d_219,2011_35,Sunday,7,9,2011,,,,,0,0,0
2011-09-05,d_220,2011_36,Monday,1,9,2011,,,,,0,0,0
2011-09-06,d_221,2011_36,Tuesday,2,9,2011,,,,,0,0,0
2011-09-07,d_222,2011_36,Wednesday,3,9,2011,,,,,0,0,0
2011-09-08,d_223,2011_36,Thursday,4,9,2011,,,,,0,0,0
2011-09-09,d_224,2011_36,Friday,5,9,2011,,,,,0,0,0
2011-09-10,d_225,2011_36,Saturday,6,9,2011,,,,,0,0,0
2011-09-11,d_226,2011_36,Sunday,7,9,2011,,,,,0,0,0
2011-09-12,d_227,2011_37,Monday,1,9,2011,,,,,0,0,0
2011-09-13,d_228,2011_37,Tuesday,2,9,2011,,,,,0,0,0
2011-09-14,d_229,2011_37,Wednesday,3,9,2011,,,,,0,0,0
2011-09-15,d_230,2011_37,Thursday,4,9,2011,,,,,0,0,0
2011-09-16,d_231,2011_37,Friday,5,9,2011,,,,,0,0,0
2011-09-17,d_232,2011_37,Saturday,6,9,2011,,,,,0,0,0
2011-09-18,d_233,2011_37,Sunday,7,9,2011,,,,,0,0,0
2011-09-19,d_234,2011_38,Monday,1,9,2011,,,,,0,0,0
2011-09-20,d_235,2011_38,Tuesday,2,9,2011,,,,,0,0,0
2011-09-21,d_236,2011_38,Wednesday,3,9,2011,,,,,0,0,0
2011-09-22,d_237,2011_38,Thursday,4,9,2011,,,,,0,0,0
2011-09-23,d_238,2011_38,Friday,5,9,2011,,,,,0,0,0
2011-09-24,d_239,2011_38,Saturday,6,9,2011,,,,,0,0,0
2011-09-25,d_240,2011_38,Sunday,7,9,2011,,,,,0,0,0
2011-09-26,d_241,2011_39,Monday,1,9,2011,,,,,0,0,0
2011-09-27,d_242,2011_39,Tuesday,2,9,2011,,,,,0,0,0
2011-09-28,d_243,2011_39,Wednesday,3,9,2011,,,,,0,0,0
2011-09-29,d_244,2011_39,Thursday,4,9,2011,,,,,0,0,0
2011-09-30,d_245,2011_39,Friday,5,9,2011,,,,,0,0,0
2011-10-01,d_246,2011_39,Saturday,6,10,2011,,,,,0,0,0
2011-10-02,d_247,2011_39,Sunday,7,10,2011,,,,,0,0,0
2011-10-03,d_248,2011_40,Monday,1,10,2011,,,,,0,0,0
2011-10-04,d_249,2011_40,Tuesday,2,10,2011,,,,,0,0,0
2011-10-05,d_250,2011_40,Wednesday,3,10,2011,,,,,0,0,0
2011-10-06,d_251,2011_40,Thursday,4,10,2011,,,,,0,0,0
2011-10-07,d_252,2011_40,Friday,5,10,2011,,,,,0,0,0
2011-10-08,d_253,2011_40,Saturday,6,10,2011,,,,,0,0,0
2011-10-09,d_254,2011_40,Sunday,7,10,2011,,,,,0,0,0
2011-10-10,d_255,2011_41,Monday,1,10,2011,,,,,0,0,0
2011-10-11,d_256,2011_41,Tuesday,2,10,2011,,,,,0,0,0
2011-10-12,d_257,2011_41,Wednesday,3,10,2011,,,,,0,0,0
2011-10-13,d_258,2011_41,Thursday,4,10,2011,,,,,0,0,0
2011-10-14,d_259,2011_41,Friday,5,10,2011,,,,,0,0,0
2011-10-15,d_260,2011_41,Saturday,6,10,2011,,,,,0,0,0
2011-10-16,d_261,2011_41,Sunday,7,10,2011,,,,,0,0,0
2011-10-17,d_262,2011_42,Monday,1,10,2011,,,,,0,0,0
2011-10-18,d_263,2011_42,Tuesday,2,10,2011,,,,,0,0,0
2011-10-19,d_264,2011_42,Wednesday,3,10,2011,,,,,0,0,0
2011-10-20,d_265,2011_42,Thursday,4,10,2011,,,,,0,0,0
2011-10-21,d_266,2011_42,Friday,5,10,2011,,,,,0,0,0
2011-10-22,d_267,2011_42,Saturday,6,10,2011,,,,,0,0,0
2011-10-23,d_268,2011_42,Sunday,7,10,2011,,,,,0,0,0
2011-10-24,d_269,2011_43,Monday,1,10,2011,,,,,0,0,0
2011-10-25,d_270,2011_43,Tuesday,2,10,2011,,,,,0,0,0
2011-10-26,d_271,2011_43,Wednesday,3,10,2011,,,,,0,0,0
2011-10-27,d_272,2011_43,Thursday,4,10,2011,,,,,0,0,0
2011-10-28,d_273,2011_43,Friday,5,10,2011,,,,,0,0,0
2011-10-29,d_274,2011_43,Saturday,6,10,2011,,,,,0,0,0
2011-10-30,d_275,2011_43,Sunday,7,10,2011,,,,,0,0,0
2011-10-31,d_276,2011_44,Monday,1,10,2011,,,,,0,0,0
2011-11-01,d_277,2011_44,Tuesday,2,11,2011,,,,,0,0,0
2011-11-02,d_278,2011_44,Wednesday,3,11,2011,,,,,0,0,0
2011-11-03,d_279,2011_44,Thursday,4,11,2011,,,,,0,0,0
2011-11-04,d_280,2011_44,Friday,5,11,2011,,,,,0,0,0
2011-11-05,d_281,2011_44,Saturday,6,11,2011,,,,,0,0,0
2011-11-06,d_282,2011_44,Sunday,7,11,2011,,,,,0,0,0
2011-11-07,d_283,2011_45,Monday,1,11,2011,,,,,0,0,0
2011-11-08,d_284,2011_45,Tuesday,2,11,2011,,,,,0,0,0
2011-11-09,d_285,2011_45,Wednesday,3,11,2011,,,,,0,0,0
2011-11-10,d_286,2011_45,Thursday,4,11,2011,,,,,0,0,0
2011-11-11,d_287,2011_45,Friday,5,11,2011,,,,,0,0,0
2011-11-12,d_288,2011_45,Saturday,6,11,2011,,,,,0,0,0
2011-11-13,d_289,2011_45,Sunday,7,11,2011,,,,,0,0,0
2011-11-14,d_290,2011_46,Monday,1,11,2011,,,,,0,0,0
2011-11-15,d_291,2011_46,Tuesday,2,11,2011,,,,,0,0,0
2011-11-16,d_292,2011_46,Wednesday,3,11,2011,,,,,0,0,0
2011-11-17,d_293,2011_46,Thursday,4,11,2011,,,,,0,0,0
2011-11-18,d_294,2011_46,Friday,5,11,2011,,,,,0,0,0
2011-11-19,d_295,2011_46,Saturday,6,11,2011,,,,,0,0,0
2011-11-20,d_296,2011_46,Sunday,7,11,2011,,,,,0,0,0
2011-11-21,d_297,2011_47,Monday,1,11,2011,,,,,0,0,0
2011-11-22,d_298,2011_47,Tuesday,2,11,2011,,,,,0,0,0
2011-11-23,d_299,2011_47,Wednesday,3,11,2011,,,,,0,0,0
2011-11-24,d_300,2011_47,Thursday,4,11,2011,,,,,0,0,0
2011-11-25,d_301,2011_47,Friday,5,11,2011,,,,,0,0,0
2011-11-26,d_302,2011_47,Saturday,6,11,2011,,,,,0,0,0
2011-11-27,d_303,2011_47,Sunday,7,11,2011,,,,,0,0,0
2011-11-28,d_304,2011_48,Monday,1,11,2011,,,,,0,0,0
2011-11-29,d_305,2011_48,Tuesday,2,11,2011,,,,,0,0,0
2011-11-30,d_306,2011_48,Wednesday,3,11,2011,,,,,0,0,0
2011-12-01,d_307,2011_48,Thursday,4,12,2011,,,,,0,0,0
2011-12-02,d_308,2011_48,Friday,5,12,2011,,,,,0,0,0
2011-12-03,d_309,2011_48,Saturday,6,12,2011,,,,,0,0,0
2011-12-04,d_310,2011_48,Sunday,7,12,2011,,,,,0,0,0
2011-12-05,d_311,2011_49,Monday,1,12,2011,,,,,0,0,0
2011-12-06,d_312,2011_49,Tuesday,2,12,2011,,,,,0,0,0
2011-12-07,d_313,2011_49,Wednesday,3,12,2011,,,,,0,0,0
2011-12-08,d_314,2011_49,Thursday,4,12,2011,,,,,0,0,0
2011-12-09,d_315,2011_49,Friday,5,12,2011,,,,,0,0,0
2011-12-10,d_316,2011_49,Saturday,6,12,2011,,,,,0,0,0
2011-12-11,d_317,2011_49,Sunday,7,12,2011,,,,,0,0,0
2011-12-12,d_318,2011_50,Monday,1,12,2011,,,,,0,0,0
2011-12-13,d_319,2011_50,Tuesday,2,12,2011,,,,,0,0,0
2011-12-14,d_320,2011_50,Wednesday,3,12,2011,,,,,0,0,0
2011-12-15,d_321,2011_50,Thursday,4,12,2011,,,,,0,0,0
2011-12-16,d_322,2011_50,Friday,5,12,2011,,,,,0,0,0
2011-12-17,d_323,2011_50,Saturday,6,12,2011,,,,,0,0,0
2011-12-18,d_324,2011_50,Sunday,7,12,2011,,,,,0,0,0
2011-12-19,d_325,2011_51,Monday,1,12,2011,,,,,0,0,0
2011-12-20,d_326,2011_51,Tuesday,2,12,2011,,,,,0,0,0
2011-12-21,d_327,2011_51,Wednesday,3,12,2011,,,,,0,0,0
2011-12-22,d_328,2011_51,Thursday,4,12,2011,,,,,0,0,0
2011-12-23,d_329,2011_51,Friday,5,12,2011,,,,,0,0,0
2011-12-24,d_330,2011_51,Saturday,6,12,2011,,,,,0,0,0
2011-12-25,d_331,2011_51,Sunday,7,12,2011,,,,,0,0,0
2011-12-26,d_332,2011_52,Monday,1,12,2011,,,,,0,0,0
2011-12-27,d_333,2011_52,Tuesday,2,12,2011,,,,,0,0,0
2011-12-28,d_334,2011_52,Wednesday,3,12,2011,,,,,0,0,0
2011-12-29,d_335,2011_52,Thursday,4,12,2011,,,,,0,0,0
2011-12-30,d_336,2011_52,Friday,5,12,2011,,,,,0,0,0
2011-12-31,d_337,2011_52,Saturday,6,12,2011,,,,,0,0,0
2012-01-01,d_338,2012_52,Sunday,7,1,2012,,,,,0,0,0
2012-01-02,d_339,2012_01,Monday,1,1,2012,,,,,0,0,0
2012-01-03,d_340,2012_01,Tuesday,2,1,2012,,,,,0,0,0
2012-01-04,d_341,2012_01,Wednesday,3,1,2012,,,,,0,0,0
2012-01-05,d_342,2012_01,Thursday,4,1,2012,,,,,0,0,0
2012-01-06,d_343,2012_01,Friday,5,1,2012,,,,,0,0,0
2012-01-07,d_344,2012_01,Saturday,6,1,2012,,,,,0,0,0
2012-01-08,d_345,2012_01,Sunday,7,1,2012,,,,,0,0,0
2012-01-09,d_346,2012_02,Monday,1,1,2012,,,,,0,0,0
2012-01-10,d_347,2012_02,Tuesday,2,1,2012,,,,,0,0,0
2012-01-11,d_348,2012_02,Wednesday,3,1,2012,,,,,0,0,0
2012-01-12,d_349,2012_02,Thursday,4,1,2012,,,,,0,0,0
2012-01-13,d_350,2012_02,Friday,5,1,2012,,,,,0,0,0
2012-01-14,d_351,2012_02,Saturday,6,1,2012,,,,,0,0,0
2012-01-15,d_352,2012_02,Sunday,7,1,2012,,,,,0,0,0
2012-01-16,d_353,2012_03,Monday,1,1,2012,,,,,0,0,0
2012-01-17,d_354,2012_03,Tuesday,2,1,2012,,,,,0,0,0
2012-01-18,d_355,2012_03,Wednesday,3,1,2012,,,,,0,0,0
2012-01-19,d_356,2012_03,Thursday,4,1,2012,,,,,0,0,0
2012-01-20,d_357,2012_03,Friday,5,1,2012,,,,,0,0,0
2012-01-21,d_358,2012_03,Saturday,6,1,2012,,,,,0,0,0
2012-01-22,d_359,2012_03,Sunday,7,1,2012,,,,,0,0,0
2012-01-23,d_360,2012_04,Monday,1,1,2012,,,,,0,0,0
2012-01-24,d_361,2012_04,Tuesday,2,1,2012,,,,,0,0,0
2012-01-25,d_362,2012_04,Wednesday,3,1,2012,,,,,0,0,0
2012-01-26,d_363,2012_04,Thursday,4,1,2012,,,,,0,0,0
2012-01-27,d_364,2012_04,Friday,5,1,2012,,,,,0,0,0
